,balanced_accuracy,f1_macro,roc_auc_macro,per_class_f1
decision_tree,0.6723668991571635,0.6667557672210146,0.8327974778230688,"{'0': 0.7475915221579962, '1': 0.4512820512820513, '2': 0.8013937282229965}"
random_forest,0.7117578451346879,0.7103833408181496,0.8848503858817945,"{'0': 0.7796610169491526, '1': 0.504297994269341, '2': 0.8471910112359551}"
svm,0.6999462363220941,0.6935176332003192,0.8758040501530863,"{'0': 0.7608286252354048, '1': 0.4919786096256685, '2': 0.8277456647398844}"
gradient_boosting,0.6920650275959712,0.6864631201202779,0.8643075861536499,"{'0': 0.7649253731343284, '1': 0.4731182795698925, '2': 0.8213457076566125}"
xgboost,0.6780385730339615,0.682522039574712,0.8802305393818283,"{'0': 0.7631103074141049, '1': 0.43478260869565216, '2': 0.8496732026143791}"
lightgbm,0.6949116700449336,0.6916825886407635,0.8733530830614552,"{'0': 0.7642585551330798, '1': 0.4835164835164835, '2': 0.8272727272727273}"
catboost,0.7053013271104281,0.7042777165171046,0.8818191985525807,"{'0': 0.7802197802197802, '1': 0.4896755162241888, '2': 0.8429378531073446}"


