model,feature_selection,num_features,f1_macro,balanced_accuracy,roc_auc_macro,recall_macro,f1_class_0,f1_class_1,f1_class_2
decision_tree,nofs,31,0.6856,0.6921,0.8411,0.6921,0.7349,0.491,0.8309
decision_tree,kPercentile,154,0.6481,0.6586,0.8393,0.6586,0.7237,0.4388,0.7818
decision_tree,tree_importance,103,0.6847,0.6876,0.8369,0.6876,0.732,0.4892,0.833
random_forest,nofs,31,0.7083,0.7038,0.883,0.7038,0.7949,0.4823,0.8478
random_forest,kPercentile,154,0.6966,0.6936,0.8815,0.6936,0.7684,0.4702,0.8512
random_forest,tree_importance,103,0.6988,0.7041,0.8814,0.7041,0.763,0.4947,0.8389
svm,nofs,31,0.6924,0.702,0.8741,0.702,0.75,0.496,0.8312
svm,kPercentile,154,0.6845,0.6861,0.87,0.6861,0.7514,0.4672,0.8348
svm,tree_importance,103,0.6876,0.6962,0.8745,0.6962,0.7468,0.4855,0.8306
gradient_boosting,nofs,31,0.6924,0.6928,0.8782,0.6928,0.7623,0.4685,0.8465
gradient_boosting,kPercentile,154,0.687,0.6867,0.8758,0.6867,0.7642,0.4565,0.8404
gradient_boosting,tree_importance,103,0.6876,0.6972,0.8631,0.6972,0.758,0.4897,0.8151
xgboost,nofs,31,0.6889,0.6844,0.8811,0.6844,0.7569,0.4625,0.8472
xgboost,kPercentile,154,0.6838,0.6796,0.8773,0.6796,0.7596,0.4401,0.8515
xgboost,tree_importance,103,0.6833,0.679,0.886,0.679,0.7532,0.4495,0.8472
lightgbm,nofs,31,0.7045,0.7091,0.8768,0.7091,0.7595,0.5096,0.8445
lightgbm,kPercentile,154,0.7027,0.7077,0.8738,0.7077,0.7643,0.5068,0.8369
lightgbm,tree_importance,103,0.6936,0.6923,0.8782,0.6923,0.761,0.4756,0.8441
catboost,nofs,31,0.6887,0.6863,0.878,0.6863,0.7636,0.4543,0.8483
catboost,kPercentile,154,0.7159,0.7173,0.88,0.7173,0.7874,0.5146,0.8455
catboost,tree_importance,103,0.6958,0.6978,0.8792,0.6978,0.7768,0.4737,0.8369
